video_id,manual_cover_text,caption,topic_tag,first_level_category_id,first_level_category_name,second_level_category_id,second_level_category_name,third_level_category_id,third_level_category_name
17,UNKNOWN,爱是不是 不开口才珍贵。,[],2,音乐,725,音乐演唱,-124,UNKNOWN
18,UNKNOWN,知道为什么水下的天空更蓝吗？,[],26,摄影,-124,UNKNOWN,-124,UNKNOWN
19,UNKNOWN,,[],13,三农,733,农业与农民,2615,种植业
20,UNKNOWN,,[],12,美食,292,美食日常,1461,美食分享
21,邓紫棋酒店隔离洗手间大放歌喉,邓紫棋酒店隔离，洗手间大放歌喉。#邓紫棋 ,[邓紫棋],2,音乐,725,音乐演唱,-124,UNKNOWN
22,UNKNOWN,#三格特效 @罂粟🍒ζ陌子Yξ🔥(O663216644) @罂粟🍒ζ沐子ξ🔥(O419219412) ,[三格特效],34,其他,418,生活泛拍,-124,UNKNOWN
23,UNKNOWN,这组动作建议不要在男朋友面前做，太丑😭哈哈，不过真的很有效#性感形体 #形体美颈 #我要发光 #快影字幕会说话 #快手全面屏 @快手小助手(O40300112) ,"[形体美颈,快影字幕会说话,快手全面屏,性感形体,我要发光]",7,运动,-124,UNKNOWN,-124,UNKNOWN
24,UNKNOWN,一路长虹 ,[],34,其他,-124,UNKNOWN,-124,UNKNOWN
25,葬礼？,,[],8,颜值,-124,UNKNOWN,-124,UNKNOWN
26,这才叫面馆,,[],12,美食,-124,UNKNOWN,-124,UNKNOWN
27,万物生,不能接受我的全部就别来 我就这样 我还不止这样,[],34,其他,418,生活泛拍,-124,UNKNOWN
28,UNKNOWN,#汉服 入目无他人，四下皆是你#远山乔汉服 ,"[汉服,远山乔汉服]",20,二次元,195,二次元真人秀,1204,汉服古风
29,UNKNOWN,镜子前的小妹妹😄😄,[],1,舞蹈,723,舞蹈日常,-124,UNKNOWN
30,UNKNOWN,早安！,[],5,时尚,-124,UNKNOWN,-124,UNKNOWN
31,UNKNOWN,😄,[],5,时尚,-124,UNKNOWN,-124,UNKNOWN
32,UNKNOWN,广场舞4步《绕臂》练习#零基础 #快手广场舞 #快手搜索更多广场舞教程 ,"[快手广场舞,快手搜索更多广场舞教程,零基础]",1,舞蹈,722,休闲舞蹈,2544,广场舞
33,这俩小哥哥也太过分了😳,哈哈！两个小哥哥下手太狠了！❤️#狗狗的日常 #听说发第二遍会火 #宠物狗 #茶杯犬 #萌宠 ,"[听说发第二遍会火,宠物狗,狗狗的日常,茶杯犬,萌宠]",17,宠物,233,宠物日常记录,1169,宠物狗
34,UNKNOWN,@Young heben(O580319244) 好家伙,[],8,颜值,-124,UNKNOWN,-124,UNKNOWN
35,UNKNOWN,这个粉丝投的稿已经很久了，我现在才写是因为我太懒了，今天就给你写啦，热门通知一声o，晚上再更一篇短篇虐转甜的。  #林瑾欢申请上热门 #林瑾欢原创 #林瑾欢 ,"[林瑾欢,林瑾欢原创,林瑾欢申请上热门]",6,明星娱乐,-124,UNKNOWN,-124,UNKNOWN
36,UNKNOWN,#二次元 #我是吃货 #快手推送 #搞笑 ,"[二次元,快手推送,我是吃货,搞笑]",9,喜剧,136,喜剧段子,-124,UNKNOWN
37,UNKNOWN,,[],2,音乐,725,音乐演唱,-124,UNKNOWN
38,UNKNOWN,你存在我深深的脑海里,[],1,舞蹈,-124,UNKNOWN,-124,UNKNOWN
39,太令人气愤了！,我不知道你是谁！但不要伤害它们！！😡#动物 #小鹿 #爱护动物 ,"[动物,小鹿,爱护动物]",28,民生资讯,-124,UNKNOWN,-124,UNKNOWN
40,伴娘很享受,节目玩的很开心,[],11,生活,-124,UNKNOWN,-124,UNKNOWN
41,UNKNOWN,"#爱生活爱官方爱热门 #健身打卡 #健身打卡 #今日份的自拍 #感谢官方大大给的每一次热门 @快手官方大哥@小助手@神秘人   没人知道你的口红是Chanel，Dior，YSL，还是Tom Ford；没人看清你腰上的DG,LV是真是假，钱包里有钱还是有卡；但是你脸大还是脸小，腿粗还是腿细，臀翘不翘，三米之外就看到了。","[今日份的自拍,健身打卡,感谢官方大大给的每一次热门,爱生活爱官方爱热门]",31,健身,692,燃脂训练,1054,健身操
42,UNKNOWN,#宇宙护卫队 #元气轻漫班 想看到彩虹闪电和风暴吗，今天下午五点宇宙护卫队直播间等你哦~,"[元气轻漫班,宇宙护卫队]",20,二次元,368,动画,1872,少儿动画
43,UNKNOWN,#大码女装感谢快手官大大送上热门 #大码女装感谢快手官大大送上热门 ,[大码女装感谢快手官大大送上热门],5,时尚,737,营销售卖,2596,女装
44,妈妈是怎么告诉日本小孩粒粒皆辛苦！,#希望官方大大给个大热门鼓励一下我这个小主播 #希望官方给我一个大热门感恩 #希望官方给我个大热门 #希望官方给我一个大热门 #最爱官方大大希望上热门 #希望官方热门爱我一次  对于一个减肥的人来说，看见一粒米都是幸福的一件事！好吃，😋！,"[希望官方大大给个大热门鼓励一下我这个小主播,希望官方热门爱我一次,希望官方给我一个大热门,希望官方给我一个大热门感恩,希望官方给我个大热门,最爱官方大大希望上热门]",34,其他,418,生活泛拍,-124,UNKNOWN
45,UNKNOWN,下辈子我要做你的心脏 #流行手势舞 #快手小助手 #热门 #感谢快手官大大送上热门 #感谢官方大大给的每一次热门 ,"[快手小助手,感谢官方大大给的每一次热门,感谢快手官大大送上热门,流行手势舞,热门]",1,舞蹈,722,休闲舞蹈,2545,手势舞
46,在电台直播中,单身的关注我，帮你脱单💑  #热门 #征婚 ,"[征婚,热门]",11,生活,-124,UNKNOWN,-124,UNKNOWN
47,UNKNOWN,#作品推广,[作品推广],5,时尚,737,营销售卖,2596,女装
48,398做的眉,感谢双击，有喜欢的告诉我你们在哪里呢,[],4,美妆,119,医美,2370,医美整形
49,逗死了跳完才录,#健身打卡,[健身打卡],1,舞蹈,722,休闲舞蹈,2544,广场舞
50,露肩蝴蝶结一定要这样系 闺蜜👭必学,#今天拍点啥 #蝴蝶结 #支持快手传播正能量 #感谢官方大大给的每一次热门 #一人一首周杰伦 ,"[一人一首周杰伦,今天拍点啥,感谢官方大大给的每一次热门,支持快手传播正能量,蝴蝶结]",11,生活,-124,UNKNOWN,-124,UNKNOWN
51,UNKNOWN,,[],20,二次元,712,二次元酷图,2493,漫画
52,UNKNOWN,我来转给你看   @周同学(O1951804829) #周杰伦喊你玩转篮球 #班巴 ,"[周杰伦喊你玩转篮球,班巴]",7,运动,126,球类运动,1056,篮球
53,UNKNOWN,#与热门擦肩而过 #爱官方爱热门 #糖果语录 #申请热门 #扎心语录情感语录   一位老教授说：如果你爱上一个人  就不会对其他人感兴趣了  如果有  那就不是爱,"[与热门擦肩而过,扎心语录情感语录,爱官方爱热门,申请热门,糖果语录]",19,情感,744,情感关系,2636,亲密关系
54,最🔥卡点《旧梦一场》🔥,#旧梦一场  小礼物🎁的新歌《小礼物》已上线 感谢支持鼓励🌹#李悟小礼物baby #快手音乐人 ,"[快手音乐人,旧梦一场,李悟小礼物baby]",2,音乐,725,音乐演唱,-124,UNKNOWN
55,UNKNOWN,黎明之前总有一段时间会特别黑暗。,[],26,摄影,686,主题摄影,2434,景物摄影
56,UNKNOWN,##感谢快手官大大送上热门 #快手创业用商家号 我妹说这一锅是送老铁的，不给我吃,"[快手创业用商家号,感谢快手官大大送上热门]",12,美食,155,美食吃播,-124,UNKNOWN
57,UNKNOWN,赶上末班车了么哈哈哈,[],8,颜值,672,摆拍卡点,-124,UNKNOWN
58,UNKNOWN,几笔原创艺术性古风，希望大家能喜欢，很简单，几笔就画好 #手绘 #古风 #感谢快手官大大送上热门 ,"[古风,感谢快手官大大送上热门,手绘]",15,艺术,168,绘画,1153,手绘
59,UNKNOWN,这儿冷，我带你回家  #劉佳 ,[劉佳],34,其他,418,生活泛拍,-124,UNKNOWN
60,给你喜欢的人拍吧,愿所有温柔付出 都有深情回应,[],3,游戏,272,多人在线战术竞技游戏（MOBA）,-124,UNKNOWN
61,子墨，小龙，齐聚铭阳轮胎,网红的背后，都是自家兄弟👬,[],18,汽车,-124,UNKNOWN,-124,UNKNOWN
62,UNKNOWN,这么善良的女孩，要不是有监控，你也许都不会相信,[],28,民生资讯,-124,UNKNOWN,-124,UNKNOWN
63,UNKNOWN,不会是你女友,[],8,颜值,-124,UNKNOWN,-124,UNKNOWN
64,UNKNOWN,小姨子理发超棒,[],34,其他,-124,UNKNOWN,-124,UNKNOWN
65,UNKNOWN,听说你们更喜欢看我卸妆的样子？#逆天化妆术 #卸妆 ,"[卸妆,逆天化妆术]",4,美妆,115,护肤,-124,UNKNOWN
66,UNKNOWN,心之所想才是心之所向＃感谢官方大大给的热门. #父母的小小心愿 #请允许我自恋一下,"[感谢官方大大给的热门,父母的小小心愿,请允许我自恋一下]",11,生活,-124,UNKNOWN,-124,UNKNOWN
67,UNKNOWN,上火惹无语,[],8,颜值,-124,UNKNOWN,-124,UNKNOWN
68,这我就不得不说了...,这我就不得不说了...#暖男先生 ,[暖男先生],32,短剧,711,搞笑短剧,-124,UNKNOWN
69,骑车要专心！,【女子骑车玩手机不料撞上隔离栏 瞬间脸部着地摔倒】#低头族 #这就尴尬了 ,"[低头族,这就尴尬了]",28,民生资讯,223,社会事件,-124,UNKNOWN
70,来吧，展示🔥,#感谢快手我要上热门感谢官方大大 洋气小美背🔥,[感谢快手我要上热门感谢官方大大],5,时尚,737,营销售卖,2596,女装
71,影视道具🎬,#感谢快手我要上热门 #影视道具 #影视拍摄 #影视特效。  感谢🙏支持,"[影视拍摄,影视特效,影视道具,感谢快手我要上热门]",9,喜剧,136,喜剧段子,-124,UNKNOWN
72,全是我的错/.,全是我的错,[],5,时尚,-124,UNKNOWN,-124,UNKNOWN
73,UNKNOWN,            我想象不出到底是个怎样的男孩能让我穿上婚纱 在众人面前幸福地见证我们的爱情 从此收心 柴米油盐酱醋只为他.,[],8,颜值,-124,UNKNOWN,-124,UNKNOWN
74,UNKNOWN,王者绝非偶然 #2020中高考加油 #感谢快手我要上热门 ,"[2020中高考加油,感谢快手我要上热门]",14,教育,162,学业教育,1132,k12
75,长这么大第一次摆地摊,总有人看不起摆摊这种小生意，觉得很丢人没面子，可是你不知道我今天在集市一下午三百杯不够卖的,[],12,美食,153,美食教程,1804,饮品
76,先看这三点 再考虑二胎,生二胎的三个条件：好的经济条件，体贴上进的老公，靠谱的公婆会帮忙带孩子，如果一样都没占，谁催都别生，不然会崩溃的#产后 ,[产后],8,颜值,-124,UNKNOWN,-124,UNKNOWN
77,UNKNOWN,这样的老公你们喜欢吗？  #搞笑段子 #感谢快手我要上热门 ,"[感谢快手我要上热门,搞笑段子]",9,喜剧,136,喜剧段子,-124,UNKNOWN
78,UNKNOWN,#搞笑段子 #搞笑配音 #感谢快手官大大送上热门 #感谢快手正能量绿色平台 #搞笑视频 ,"[感谢快手官大大送上热门,感谢快手正能量绿色平台,搞笑段子,搞笑视频,搞笑配音]",9,喜剧,136,喜剧段子,-124,UNKNOWN
79,冰棒吸管水杯,#好物 #感谢快手官大大送上热门 #感谢快手我要上热门 #种草 #好物分享 ,"[好物,好物分享,感谢快手官大大送上热门,感谢快手我要上热门,种草]",4,美妆,-124,UNKNOWN,-124,UNKNOWN
80,UNKNOWN,通知！通知！今晚8:40直播🌚嘿嘿嘿#拽姐 #怦然心动 #快手达人挑战赛 #快手颜值大赛 #快手舞蹈大赛 ,"[快手舞蹈大赛,快手达人挑战赛,快手颜值大赛,怦然心动,拽姐]",1,舞蹈,-124,UNKNOWN,-124,UNKNOWN
81,炫酷扭腰变装💖,我不想做满天星 我想当白桔梗.❤️#扭腰变装 #苹果原相机 ,"[扭腰变装,苹果原相机]",1,舞蹈,-124,UNKNOWN,-124,UNKNOWN
82,UNKNOWN,一一曲欢快的白龙马，家人们跟着我的节奏跳起来吧！,[],1,舞蹈,-124,UNKNOWN,-124,UNKNOWN
83,UNKNOWN,看镜头宝宝@依琳老婆.(O238346445) @高雷雷：(O68058812) ,[],8,颜值,-124,UNKNOWN,-124,UNKNOWN
84,昼夜连绵 第67话,#昼夜连绵 #漫画随便一截都是壁纸 #漫画控必看的漫画 #感谢快手我要上热门感谢官方大大 #我想涨粉丝我想上热门官方大大漫画 ,"[感谢快手我要上热门感谢官方大大,我想涨粉丝我想上热门官方大大漫画,昼夜连绵,漫画控必看的漫画,漫画随便一截都是壁纸]",20,二次元,712,二次元酷图,2493,漫画
85,UNKNOWN,父亲节闺女送给爸爸的礼物，感动😂😂😂,[],25,亲子,235,晒娃,1272,4至12岁萌娃
86,UNKNOWN,该说不说嫂子是挺厉害？😎,[],1,舞蹈,-124,UNKNOWN,-124,UNKNOWN
87,UNKNOWN,👀😄👉,[],12,美食,292,美食日常,1461,美食分享
88,UNKNOWN,#速算技巧 #视频每日更新 #感谢官方大大给的每一次热门 #感谢家人们对我的关注和支持 ,"[感谢官方大大给的每一次热门,感谢家人们对我的关注和支持,视频每日更新,速算技巧]",14,教育,162,学业教育,1132,k12
89,UNKNOWN,,[],5,时尚,736,潮流,2591,时尚街拍
90,UNKNOWN,难怪女司机停车都很规范，你家有同款吗？,[],9,喜剧,136,喜剧段子,-124,UNKNOWN
91,UNKNOWN,#今天拍点啥 #作品推广 #热门 #支持快手传播正能量 小神兽开心KO老爸系列（二）🤨,"[今天拍点啥,作品推广,支持快手传播正能量,热门]",7,运动,128,搏击运动,1348,格斗
92,UNKNOWN,麻烦给我的爱墩来一杯摸鸡头~ #周杰伦新歌Mojito #虎墩 ,"[周杰伦新歌Mojito,虎墩]",20,二次元,368,动画,1872,少儿动画
93,女生的脚为什么不臭,听说打出“xwz”可以测试你是不是正经人🥴#jk #临沂 #热门 ,"[jk,临沂,热门]",9,喜剧,-124,UNKNOWN,-124,UNKNOWN
94,挑战无美颜变装🔥,好久不见十分想念@小花花☘️(O543794419) ,[],1,舞蹈,-124,UNKNOWN,-124,UNKNOWN
95,曾经厦门大学校花 陈都灵,陈都灵来化妆拍戏啦。,[],6,明星娱乐,-124,UNKNOWN,-124,UNKNOWN
96,UNKNOWN,特别喜欢村上春树的一句话：“不必纠结当下 也不必太担忧未来 人生没有无用的经历 所以我们一直走 天一定会亮”。 #情感文字视频 #快手九周年 #快手全面屏 #情定三生 #感谢快手我要上热门,"[快手九周年,快手全面屏,情定三生,情感文字视频,感谢快手我要上热门]",19,情感,745,情绪分享,2641,积极励志
97,UNKNOWN,别人希望你名声四起 我只希望你一路平安,[],34,其他,418,生活泛拍,-124,UNKNOWN
98,鹿晗今天好帅 娱乐圈,#感谢快手我要上热门 #创造营2020 #鹿晗 ,"[创造营2020,感谢快手我要上热门,鹿晗]",6,明星娱乐,-124,UNKNOWN,-124,UNKNOWN
99,UNKNOWN,我宣布，今天只要关注了的朋友，生意啥困难，实体店问题，我能拉的都拉一把，我说到做到，吐字为钉#努力的96年小姐姐 #广东 #创业 #今天拍点啥 #新人求关注 @今天拍点啥(O840386039) ,"[今天拍点啥,创业,努力的96年小姐姐,广东,新人求关注]",34,其他,-124,UNKNOWN,-124,UNKNOWN
100,UNKNOWN,好像听到了我爱你 原声#原相机 ,[原相机],34,其他,418,生活泛拍,-124,UNKNOWN
101,UNKNOWN,,[],11,生活,-124,UNKNOWN,-124,UNKNOWN
102,UNKNOWN,,[],25,亲子,-124,UNKNOWN,-124,UNKNOWN
103,半张饺子皮包馄饨简单漂亮，又省事。,用半张饺子皮就能包馄饨简单漂亮，又省事，喜欢赶快动手试试吧。#快手九周年 #爱官方爱热门支持快手传播正能量 ,"[快手九周年,爱官方爱热门支持快手传播正能量]",12,美食,153,美食教程,1460,菜肴
104,UNKNOWN,,[],15,艺术,170,表演,1158,舞龙舞狮
105,UNKNOWN,艾特出来看看？ #故北文字 ,[故北文字],21,人文,-124,UNKNOWN,-124,UNKNOWN
106,UNKNOWN,#,[],26,摄影,686,主题摄影,2434,景物摄影
107,丢水瓶,别问拍了多久，问就是拍了一个G内存,[],8,颜值,-124,UNKNOWN,-124,UNKNOWN
108,UNKNOWN,#国标舞蹈生 #slomo慢动作 我又来了,"[slomo慢动作,国标舞蹈生]",1,舞蹈,-124,UNKNOWN,-124,UNKNOWN
109,撒斯给•,今天不教你们压弯过几天  #中国摩博会 #ClMA骑士 ,"[ClMA骑士,中国摩博会]",18,汽车,716,玩车,2510,机车族
110,UNKNOWN,怎么开心怎么来～  #热门 #娇娇小课堂 #快手舞蹈  #感谢官方大大给的每一次热门  #感谢快手官大大送上热门 ,"[娇娇小课堂,快手舞蹈,感谢官方大大给的每一次热门,感谢快手官大大送上热门,热门]",1,舞蹈,-124,UNKNOWN,-124,UNKNOWN
111,UNKNOWN,,[],21,人文,-124,UNKNOWN,-124,UNKNOWN
112,UNKNOWN,一岁娃被锁车内，母亲坚持“再等等”，民警怒吼强行砸窗救人,[],28,民生资讯,-124,UNKNOWN,-124,UNKNOWN
113,UNKNOWN,,[],19,情感,745,情绪分享,2641,积极励志
114,大圣娶亲❤️一生所爱,#感谢快手我要上热门 #漫展 #二次元 #cosplay #王者荣耀 喜欢吗😘,"[cosplay,二次元,感谢快手我要上热门,漫展,王者荣耀]",20,二次元,195,二次元真人秀,1875,cosplay
115,看小熊吃瘪 我心里就很开心,看小熊吃瘪，我心里怎么就这么开心呢？,[],9,喜剧,136,喜剧段子,-124,UNKNOWN
116,UNKNOWN,#房产小知识 #投资房产 #房产那些事 #今天拍点啥 #推广小助手 #作品推广,"[今天拍点啥,作品推广,房产小知识,房产那些事,投资房产,推广小助手]",22,财经,-124,UNKNOWN,-124,UNKNOWN
117,UNKNOWN,很多人大姨妈量少，有血块而犯愁，大多数是因为体寒淤堵而造成，可以练习这个动作，让大姨妈来得更畅通！ #女性 #床上瑜伽 #我要上热门儿 #减肥瑜伽教程 #副乳怎么瘦,"[减肥瑜伽教程,副乳怎么瘦,女性,床上瑜伽,我要上热门儿]",31,健身,690,放松训练,1053,瑜伽
118,UNKNOWN,北京启用三大果蔬进京中转站，已调运蔬菜超万吨,[],28,民生资讯,223,社会事件,-124,UNKNOWN
119,UNKNOWN,干活,[],11,生活,386,职业生活,-124,UNKNOWN
120,UNKNOWN,哈哈哈跑出一股偷菜贼的感觉 ,[],9,喜剧,-124,UNKNOWN,-124,UNKNOWN
121,UNKNOWN,樱珠芽接技术，成活率极高，您看懂了吗？ #嫁接技术 #感谢快手我要上热门 ,"[嫁接技术,感谢快手我要上热门]",13,三农,733,农业与农民,2615,种植业
122,UNKNOWN,#搞笑 #搞笑配音,"[搞笑,搞笑配音]",9,喜剧,548,搞笑配音,-124,UNKNOWN
123,冰曲蕾丝边珍珠纽小版小香风爱💕了,太好看了#快手助手上热门 ,[快手助手上热门],5,时尚,737,营销售卖,2596,女装
124,UNKNOWN,我不是在最好的时光遇见了你们 而是遇见你们才有了最好的时光,[],19,情感,744,情感关系,2638,人际关系
125,变装👌,我喜欢你们,[],5,时尚,-124,UNKNOWN,-124,UNKNOWN
126,        这得有多大的默契度         才能练就这种技能👍🏻,这两口子是真爱😂鉴定完毕👍🏻👍🏻 大家准备练习一下吗😂😂#默契 #真爱 #神操作 #高手在民间 #助推小助手 ,"[助推小助手,真爱,神操作,高手在民间,默契]",28,民生资讯,223,社会事件,-124,UNKNOWN
127,柔道防身术,下定决心要做的事 要保持不动声色 却满心澎湃,[],7,运动,128,搏击运动,-124,UNKNOWN
128,我了个去😂😂😂,,[],12,美食,292,美食日常,1461,美食分享
129,UNKNOWN,,[热门],18,汽车,561,汽车日常,-124,UNKNOWN
130,UNKNOWN,猫猫不仅会开酒，还会用脚弹钢琴#感谢快手我要上热门 @快手创作者服务中心(O40300138) ,[感谢快手我要上热门],15,艺术,-124,UNKNOWN,-124,UNKNOWN
131,早晨超市的大爷大妈们的😂,#迷惑行为大赏 #安全第一 ,"[安全第一,迷惑行为大赏]",9,喜剧,136,喜剧段子,-124,UNKNOWN
132,UNKNOWN,－ ꯭其꯭实꯭我꯭知꯭道꯭我꯭们꯭根꯭本꯭走꯭不꯭到꯭最꯭后꯭.  #动漫头像 #热门 ,"[动漫头像,热门]",20,二次元,-124,UNKNOWN,-124,UNKNOWN
133,你女朋友生气样子😂😂😂,你别动，搞得我都烦死了😂,[],34,其他,418,生活泛拍,-124,UNKNOWN
134,UNKNOWN,给大家表演一个群魔乱舞😏,[],1,舞蹈,723,舞蹈日常,-124,UNKNOWN
135,UNKNOWN,“人真的会反反复复喜欢同一个人”.,[],20,二次元,195,二次元真人秀,1206,JK与制服
136,复制，粘贴,复制，粘贴，复制，粘贴，复制，粘贴。,[],34,其他,418,生活泛拍,-124,UNKNOWN
137,UNKNOWN,小编是全程憋着气看完的...,[],7,运动,130,极限运动,2396,水域极限
138,UNKNOWN,最悲壮的变装😂,[],8,颜值,673,颜值随拍,-124,UNKNOWN
139,变色的生活./,你好 我叫对象  真名老婆  小名女神  外号宝贝  喜欢那个叫那个.,[],11,生活,-124,UNKNOWN,-124,UNKNOWN
140,阳光boy.,and殷振灵.@大拽是谁.(O539309081)   #官方爸爸别屏蔽 ,[官方爸爸别屏蔽],8,颜值,-124,UNKNOWN,-124,UNKNOWN
141,三十九一百片 晚上来漏,🌹名人  雀氏  茵茵 #同城热点 #快手卖货王 #支持小黄车下单 #感谢官方及快手辛苦了 #感谢快手官方大大给的每一次热门 感谢快手官方推送🙏🙏🙏🙏#作品推广,"[作品推广,同城热点,快手卖货王,感谢官方及快手辛苦了,感谢快手官方大大给的每一次热门,支持小黄车下单]",5,时尚,-124,UNKNOWN,-124,UNKNOWN
142,UNKNOWN,今日起，公职人员取得外国国籍或绿卡将被撤职开除。,[],28,民生资讯,-124,UNKNOWN,-124,UNKNOWN
143,UNKNOWN,,[],3,游戏,271,吃鸡游戏,-124,UNKNOWN
144,UNKNOWN,#热爱快手热爱官方感谢助推热门 #服装搭配 #春夏复工装 #遇见春天 #作品推广 ,"[作品推广,春夏复工装,服装搭配,热爱快手热爱官方感谢助推热门,遇见春天]",5,时尚,737,营销售卖,2596,女装
145,一字马脱衣,一字马脱衣#一字马 #挑战空中一字马 #作品推广 #快手舞蹈 #舞蹈@快手创作者服务中心(O40300138) @快手创作者激励计划(O792200110) @快手舞蹈(O40300097) ,"[一字马,作品推广,快手舞蹈,挑战空中一字马,舞蹈]",1,舞蹈,719,专业舞蹈,2537,舞蹈与艺考
146,UNKNOWN,众所周知，帅的小哥哥都上交国家了！,[],33,自拍,-124,UNKNOWN,-124,UNKNOWN
147,UNKNOWN,一个可能产生“幸运游客”的地方，景色很美却被遗忘，大美湖南高椅岭 #跟着快手去旅行 #快手创作者中心 ,"[快手创作者中心,跟着快手去旅行]",10,旅游,728,旅游种草,2565,境内游种草
148,UNKNOWN,美60岁奶奶与21少年一见钟情，兴奋分享初次体验，称：升华了感情！ @推广小助手(O40300047) ,[],19,情感,744,情感关系,2636,亲密关系
149,小肉包来了😄,你们喜欢的小肉包来了，早上起来可美了😄,[],25,亲子,235,晒娃,1231,0至3岁萌宝
150,UNKNOWN,什么是小人 #感谢官方大大给的每一次热门 #感谢官方感谢关注感谢老铁们的支持 ,"[感谢官方大大给的每一次热门,感谢官方感谢关注感谢老铁们的支持]",19,情感,745,情绪分享,2641,积极励志
151,UNKNOWN,牛：跟人沾边的事你是一点没干！,[],28,民生资讯,223,社会事件,2442,趣闻趣事
152,UNKNOWN,#健身 #感谢快手我要上热门 #,"[健身,感谢快手我要上热门]",31,健身,692,燃脂训练,1054,健身操
153,UNKNOWN,热血沸腾！女子接力也可以这么“飒”！,[],35,军事,-124,UNKNOWN,-124,UNKNOWN
154,内  蒙  鬼  脚  七,,[],7,运动,128,搏击运动,1064,武术
155,UNKNOWN,#沙溢回不去白展堂神颜 #雷佳音自爆年轻时像#林更新？#沙溢 #未知的餐桌 ,"[未知的餐桌,沙溢,沙溢回不去白展堂神颜,雷佳音自爆年轻时像]",39,影视综,387,综艺,-124,UNKNOWN
156,UNKNOWN,跟着黄磊老师做的干锅土豆片，个别小孩都馋哭了😭太好吃了,[],12,美食,153,美食教程,1460,菜肴
157,UNKNOWN,都是出来玩的 叫我一声老公怎么了？,[],33,自拍,-124,UNKNOWN,-124,UNKNOWN
158,UNKNOWN,#感谢快手我要上热门 #变瘦变美变好看 #爱生活爱官方爱热门 #客厅健身房 #今日份的自拍 ,"[今日份的自拍,变瘦变美变好看,客厅健身房,感谢快手我要上热门,爱生活爱官方爱热门]",31,健身,692,燃脂训练,1054,健身操
159,UNKNOWN,王牌？我不配#我要上热门 #我要上热门 #我要上热门 #我要上热门 #我要上热门 ,[我要上热门],15,艺术,674,其他才艺,1143,玩泥
160,UNKNOWN,印度大 V吐苦水...,[],28,民生资讯,223,社会事件,-124,UNKNOWN
